T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
23.4,30.3,19.0,-,59,6.3,4.3,5.4,284.796
23.4,30.3,19.0,-,59,6.3,4.3,5.4,284.796
23.4,30.3,19.0,-,59,6.3,4.3,5.4,284.796
22.4,30.3,16.9,-,57,6.9,3.3,7.6,219.72099999999998
22.4,30.3,16.9,-,57,6.9,3.3,7.6,219.72099999999998
22.4,30.3,16.9,-,57,6.9,3.3,7.6,219.72099999999998
24.0,31.8,16.9,-,51,6.9,2.8,5.4,182.188
24.0,31.8,16.9,-,51,6.9,2.8,5.4,182.188
24.0,31.8,16.9,-,51,6.9,2.8,5.4,182.188
22.8,30.2,17.6,-,55,7.7,3.7,7.6,154.03799999999998
22.8,30.2,17.6,-,55,7.7,3.7,7.6,154.03799999999998
22.8,30.2,17.6,-,55,7.7,3.7,7.6,154.03799999999998
23.1,30.6,17.4,-,46,6.9,3.3,5.4,223.208
23.1,30.6,17.4,-,46,6.9,3.3,5.4,223.208
23.1,30.6,17.4,-,46,6.9,3.3,5.4,223.208
22.9,30.6,17.4,-,51,6.9,3.5,3.5,200.646
22.9,30.6,17.4,-,51,6.9,3.5,3.5,200.646
22.9,30.6,17.4,-,51,6.9,3.5,3.5,200.646
22.3,30.1,15.7,-,43,6.9,2.8,5.4,285.225
22.3,30.1,15.7,-,43,6.9,2.8,5.4,285.225
22.3,30.1,15.7,-,43,6.9,2.8,5.4,285.225
21.8,30.6,14.8,-,41,6.9,1.9,5.4,236.825
21.8,30.6,14.8,-,41,6.9,1.9,5.4,236.825
21.8,30.6,14.8,-,41,6.9,1.9,5.4,236.825
21.6,30.6,14.2,-,43,6.9,3.1,7.6,276.908
21.6,30.6,14.2,-,43,6.9,3.1,7.6,276.908
21.6,30.6,14.2,-,43,6.9,3.1,7.6,276.908
21.6,29.6,16.4,-,58,6.9,2.2,3.5,108.0
21.6,29.6,16.4,-,58,6.9,2.2,3.5,108.0
21.6,29.6,16.4,-,58,6.9,2.2,3.5,108.0
21.9,29.6,16.6,-,58,6.9,2.4,5.4,107.625
21.9,29.6,16.6,-,58,6.9,2.4,5.4,107.625
21.9,29.6,16.6,-,58,6.9,2.4,5.4,107.625
22.3,29.9,17.5,-,55,6.9,3.1,5.4,125.89200000000001
22.3,29.9,17.5,-,55,6.9,3.1,5.4,125.89200000000001
22.3,29.9,17.5,-,55,6.9,3.1,5.4,125.89200000000001
21.6,29.1,15.5,-,47,7.7,4.8,7.6,181.013
21.6,29.1,15.5,-,47,7.7,4.8,7.6,181.013
21.6,29.1,15.5,-,47,7.7,4.8,7.6,181.013
21.8,29.2,14.6,-,41,6.9,2.8,3.5,152.554
21.8,29.2,14.6,-,41,6.9,2.8,3.5,152.554
21.8,29.2,14.6,-,41,6.9,2.8,3.5,152.554
22.3,30.1,15.6,-,40,6.9,2.4,5.4,152.321
22.3,30.1,15.6,-,40,6.9,2.4,5.4,152.321
22.3,30.1,15.6,-,40,6.9,2.4,5.4,152.321
22.1,29.8,17.3,-,54,6.9,5.2,9.4,319.738
22.1,29.8,17.3,-,54,6.9,5.2,9.4,319.738
22.1,29.8,17.3,-,54,6.9,5.2,9.4,319.738
