T,TM,Tm,SLP,H,VV,V,VM,PM 2.5
20.3,26.4,16,-,70,6.3,3.1,3.5,255.875
20.3,26.4,16,-,70,6.3,3.1,3.5,255.875
20.3,26.4,16,-,70,6.3,3.1,3.5,255.875
20.1,26.4,16.6,-,70,5.5,2.8,3.5,217.083
20.1,26.4,16.6,-,70,5.5,2.8,3.5,217.083
20.1,26.4,16.6,-,70,5.5,2.8,3.5,217.083
21.2,28.4,15,-,67,6.9,2.4,5.4,229.167
21.2,28.4,15,-,67,6.9,2.4,5.4,229.167
21.2,28.4,15,-,67,6.9,2.4,5.4,229.167
21.4,30.8,15,-,53,6.9,2.8,3.5,298.458
21.4,30.8,15,-,53,6.9,2.8,3.5,298.458
21.4,30.8,15,-,53,6.9,2.8,3.5,298.458
20.7,29.3,15.5,-,65,6.9,5.9,13,264.917
20.7,29.3,15.5,-,65,6.9,5.9,13,264.917
20.7,29.3,15.5,-,65,6.9,5.9,13,264.917
21,28,15.8,-,67,6.3,4.3,5.4,404.5
21,28,15.8,-,67,6.3,4.3,5.4,404.5
21,28,15.8,-,67,6.3,4.3,5.4,404.5
22,30.6,15.6,-,57,6.9,5,5.4,188.5
22,30.6,15.6,-,57,6.9,5,5.4,188.5
22,30.6,15.6,-,57,6.9,5,5.4,188.5
22.4,30.5,17,-,52,7.7,3.9,5.4,164.75
22.4,30.5,17,-,52,7.7,3.9,5.4,164.75
22.4,30.5,17,-,52,7.7,3.9,5.4,164.75
22.1,29.5,16.3,-,59,6.9,3.3,5.4,376.917
22.1,29.5,16.3,-,59,6.9,3.3,5.4,376.917
22.1,29.5,16.3,-,59,6.9,3.3,5.4,376.917
21.8,28.5,16.9,-,68,6.9,5,5.4,0.0
21.8,28.5,16.9,-,68,6.9,5,5.4,0.0
21.8,28.5,16.9,-,68,6.9,5,5.4,0.0
20.9,28.1,17,-,66,6.9,3.5,5.4,0.0
20.9,28.1,17,-,66,6.9,3.5,5.4,0.0
20.9,28.1,17,-,66,6.9,3.5,5.4,0.0
20.4,27.4,15.2,-,61,6.9,3.9,5.4,57.0
20.4,27.4,15.2,-,61,6.9,3.9,5.4,57.0
20.4,27.4,15.2,-,61,6.9,3.9,5.4,57.0
22,29.5,16.9,-,58,6.9,3.9,5.4,202.917
22,29.5,16.9,-,58,6.9,3.9,5.4,202.917
22,29.5,16.9,-,58,6.9,3.9,5.4,202.917
21.4,29.4,15.5,-,57,6.9,3.3,5.4,205.125
21.4,29.4,15.5,-,57,6.9,3.3,5.4,205.125
21.4,29.4,15.5,-,57,6.9,3.3,5.4,205.125
21,27.7,16.4,-,61,6.9,3.7,7.6,214.125
21,27.7,16.4,-,61,6.9,3.7,7.6,214.125
21,27.7,16.4,-,61,6.9,3.7,7.6,214.125
22,29.4,15.4,-,56,6.9,2.8,7.6,315.792
22,29.4,15.4,-,56,6.9,2.8,7.6,315.792
22,29.4,15.4,-,56,6.9,2.8,7.6,315.792
22.2,29.8,17,-,65,6.9,4.8,7.6,322.25
22.2,29.8,17,-,65,6.9,4.8,7.6,322.25
22.2,29.8,17,-,65,6.9,4.8,7.6,322.25
22.7,29.7,18,-,59,6.9,3.1,5.4,246.042
22.7,29.7,18,-,59,6.9,3.1,5.4,246.042
22.7,29.7,18,-,59,6.9,3.1,5.4,246.042
23,31.4,15.7,-,48,6.9,1.9,3.5,200.917
23,31.4,15.7,-,48,6.9,1.9,3.5,200.917
23,31.4,15.7,-,48,6.9,1.9,3.5,200.917
23.8,32.6,16.5,-,29,6.9,2.4,5.4,99.5
23.8,32.6,16.5,-,29,6.9,2.4,5.4,99.5
23.8,32.6,16.5,-,29,6.9,2.4,5.4,99.5
23.6,32.1,15.5,-,35,6.9,2,5.4,143.917
23.6,32.1,15.5,-,35,6.9,2,5.4,143.917
23.6,32.1,15.5,-,35,6.9,2,5.4,143.917
